19425	S	1.97
19487	C	3.66
18704	I	3.16
16185	S	2.52
18172	D	3.22
14503	I	3.77
12673	C	3.50
19442	S	1.55
11840	C	3.44
14482	S	3.70
17305	C	3.99
17156	I	2.74
12190	S	3.99
16124	S	3.20
12813	C	2.73
17022	C	2.82
16115	D	3.58
19903	I	3.07
14994	I	3.38
17283	C	2.85
19558	D	1.89
18924	I	1.41
17940	D	3.99
18359	D	2.96
10121	I	2.79
19621	I	3.99
14085	D	1.04
10114	S	3.09
12832	S	2.10
12168	S	1.50
17928	I	3.30
19430	S	3.99
18181	S	1.01
12559	C	2.42
10521	I	3.03
15889	D	1.00
14606	C	3.43
10204	S	3.21
18262	I	3.23
17596	C	1.93
17526	S	2.68
14066	I	3.07
19628	D	2.78
11367	C	3.43
13062	C	1.93
13427	S	2.00
16436	C	3.61
15084	I	3.08
19972	I	3.11
18941	D	1.47
